Symbol,Date,Close
XOM,6/13/2016,90.59
XOM,6/14/2016,90.43
XOM,6/15/2016,90.16
XOM,6/16/2016,91.22
XOM,6/17/2016,90.72
XOM,6/20/2016,91.12
XOM,6/21/2016,91.53
XOM,6/22/2016,91.17
XOM,6/23/2016,91.8
XOM,6/24/2016,89.39
XOM,6/27/2016,88.86
XOM,6/28/2016,90.91
XOM,6/29/2016,92.46
XOM,6/30/2016,93.74
XOM,7/1/2016,93.84
XOM,7/5/2016,93.02
XOM,7/6/2016,94.09
XOM,7/7/2016,92.96
XOM,7/8/2016,93.54
XOM,7/11/2016,93.89
XOM,7/12/2016,94.95
XOM,7/13/2016,94.88
XOM,7/14/2016,94.95
XOM,7/15/2016,95.12
XOM,7/18/2016,94.82
XOM,7/19/2016,94.47
XOM,7/20/2016,93.93
XOM,7/21/2016,93.85
XOM,7/22/2016,94.01
XOM,7/25/2016,92.2
XOM,7/26/2016,91.53
XOM,7/27/2016,90.91
XOM,7/28/2016,90.2
XOM,7/29/2016,88.95
XOM,8/1/2016,85.86
XOM,8/2/2016,87.04
XOM,8/3/2016,87.49
XOM,8/4/2016,87.48
XOM,8/5/2016,87.56
XOM,8/8/2016,88.59
XOM,8/9/2016,88.7
XOM,8/10/2016,86.41
XOM,8/11/2016,86.72
XOM,8/12/2016,87.85
XOM,8/15/2016,87.81
XOM,8/16/2016,87.92
XOM,8/17/2016,88.11
XOM,8/18/2016,88.91
XOM,8/19/2016,87.8
XOM,8/22/2016,87.99
XOM,8/23/2016,87.72
XOM,8/24/2016,88.02
XOM,8/25/2016,87.46
XOM,8/26/2016,87.27
XOM,8/29/2016,87.84
XOM,8/30/2016,87.52
XOM,8/31/2016,87.14
XOM,9/1/2016,86.84
XOM,9/2/2016,87.42
XOM,9/6/2016,88.57
XOM,9/7/2016,88.24
XOM,9/8/2016,89.05
XOM,9/9/2016,86.84
XOM,9/12/2016,87.29
XOM,9/13/2016,85.21
XOM,9/14/2016,84.6
XOM,9/15/2016,85.08
XOM,9/16/2016,84.03
